value,years,place,lat,lon
217,3,Remington College-Tampa Campus,27.983466,-82.385976
218,3,University of North Florida,30.270917,-81.507853
219,3,Nova Southeastern University,26.079337,-80.24248
220,3,Palm Beach Atlantic University,26.704629,-80.049758
221,3,Rollins College,28.591992,-81.348716
222,3,Saint Leo University,28.336776,-82.257287
223,3,St Petersburg College,27.90242,-82.717331
224,3,University of South Florida-Main Campus,28.056647,-82.415876
225,3,St Thomas University,25.920915,-80.256265
226,3,Stetson University,29.036295,-81.301604
227,3,Southeastern University,28.031864,-81.918997
228,3,The University of Tampa,27.947225,-82.465582
229,3,Warner University,27.825751,-81.599972
230,3,Webber International University,27.838798,-81.532325
231,3,The University of West Florida,30.542855,-87.218125
232,3,Agnes Scott College,33.769996,-84.29563
233,3,Albany State University,31.571395,-84.14306
234,3,Armstrong Atlantic State University,31.978109,-81.160409
235,3,Point University,32.879467,-85.184285
236,3,Clark Atlanta University,33.748772,-84.412818
237,3,Berry College,34.289254,-85.189077
238,3,Brenau University,34.303117,-83.821513
239,3,Brewton-Parker College,32.185718,-82.586136
240,3,Clayton  State University,33.594079,-84.328174
241,3,Columbus State University,32.501556,-84.940796
242,3,Covenant College,34.963327,-85.37496
243,3,Dalton State College,34.77496,-85.00289
244,3,Emmanuel College,34.282617,-83.146825
245,3,Emory University,33.798836,-84.325782
246,3,Fort Valley State University,32.538163,-83.895548
247,3,Georgia Institute of Technology-Main Campus,33.773732,-84.396019
248,3,Georgia Southwestern State University,32.058198,-84.217755
249,3,Georgia College and State University,33.082787,-83.231962
250,3,Georgia Southern University,32.427756,-81.782201
251,3,Georgia State University,33.7527,-84.38667
252,3,University of Georgia,33.956428,-83.374049
253,3,Kennesaw State University,34.03629,-84.58083
254,3,LaGrange College,33.039713,-85.041394
255,3,Life University,33.932104,-84.514156
256,3,Mercer University,32.829731,-83.651042
257,3,Morehouse College,33.74793,-84.415156
258,3,University of North Georgia,34.530254,-83.985934
259,3,Oglethorpe University,33.875939,-84.334756
260,3,Paine College,33.469259,-81.991199
261,3,Piedmont College,34.56663,-83.543216
262,3,Reinhardt University,34.318874,-84.554657
263,3,Savannah State University,32.024781,-81.063377
264,3,Shorter University,34.258192,-85.196213
265,3,Spelman College,33.74519,-84.410118
266,3,Southern Polytechnic State University,33.938992,-84.519276
267,3,Thomas University,30.813954,-83.981478
268,3,Toccoa Falls College,34.59554,-83.353462
269,3,Truett-McConnell College,34.594437,-83.745972
270,3,Valdosta State University,30.849236,-83.289925
271,3,Wesleyan College,32.874648,-83.717186
272,3,University of West Georgia,33.574421,-85.099007
273,3,Chaminade University of Honolulu,21.290274,-157.807642
274,3,University of Hawaii at Hilo,19.701854,-155.081329
275,3,University of Hawaii at Manoa,21.292648,-157.816607
276,3,Hawaii Pacific University,21.31028,-157.859411
277,3,University of Hawaii-West Oahu,21.353359,-158.062444
278,3,Boise State University,43.604403,-116.205789
279,3,Idaho State University,42.864108,-112.429084
280,3,University of Idaho,46.726894,-117.024296
281,3,The College of Idaho,43.652653,-116.676838
282,3,Lewis-Clark State College,46.410034,-117.026371
283,3,Northwest Nazarene University,43.563181,-116.564792
284,3,Brigham Young University-Idaho,43.815384,-111.784728
285,3,Augustana College,41.500326,-90.552402
286,3,Aurora University,41.754465,-88.349469
287,3,Blackburn College,39.288298,-89.872248
288,3,Bradley University,40.697605,-89.61462
289,3,Chicago State University,41.718813,-87.610344
290,3,University of Chicago,41.78917,-87.601196
291,3,Columbia College-Chicago,41.873589,-87.624554
292,3,Concordia University-Chicago,41.898574,-87.810009
293,3,DePaul University,41.923332,-87.654116
294,3,East-West University,41.871309,-87.624793
295,3,Eastern Illinois University,39.483017,-88.175505
296,3,Elmhurst College,41.899215,-87.946096
297,3,Eureka College,40.713042,-89.268952
298,3,Governors State University,41.448603,-87.717012
299,3,Greenville College,38.894751,-89.409178
300,3,University of Illinois at Chicago,41.872651,-87.651145
301,3,Benedictine University,41.776395,-88.095948
302,3,University of Illinois at Urbana-Champaign,40.108864,-88.230309
303,3,Illinois Wesleyan University,40.491522,-88.990622
304,3,Illinois College,39.730827,-90.246256
305,3,Illinois Institute of Technology,41.833801,-87.628346
306,3,Illinois State University,40.509724,-88.99234
307,3,Judson University,42.05896,-88.289708
308,3,Knox College,40.941829,-90.370316
309,3,Lake Forest College,42.250456,-87.830777
310,3,Lewis University,41.605432,-88.079032
311,3,Lincoln College,40.157141,-89.360552
312,3,Loyola University Chicago,41.999161,-87.657399
313,3,MacMurray College,39.730226,-90.22175
314,3,McKendree University,38.609431,-89.814486
315,3,Millikin University,39.842604,-88.974571
316,3,Monmouth College,40.91459,-90.637909
317,3,National Louis University,41.879826,-87.624805
318,3,North Central College,41.775304,-88.143649
319,3,North Park University,41.9751,-87.709142
320,3,Northern Illinois University,41.933791,-88.766065
321,3,Northwestern University,42.058377,-87.673653
322,3,Northeastern Illinois University,41.980567,-87.72013
323,3,Olivet Nazarene University,41.155489,-87.873654
324,3,Quincy University,39.939235,-91.387928
325,3,Robert Morris University Illinois,41.876278,-87.627068
326,3,Rockford University,42.270639,-89.019536
327,3,Roosevelt University,41.876055,-87.624952
328,3,Dominican University,41.902834,-87.821872
329,3,University of St Francis,41.533341,-88.096368
330,3,Saint Xavier University,41.707763,-87.713507
331,3,University of Illinois at Springfield,39.729862,-89.614917
332,3,Shimer College,41.83217,-87.62713
333,3,Southern Illinois University-Carbondale,37.71921,-89.217618
334,3,Southern Illinois University-Edwardsville,38.793949,-89.997779
